,A,Follows B,A_lat,A_lng,B_lat,B_lng,,user_screen_name,user_statuses_count,user_verified,lat,lng
161,crecenteb,Luceobrien,40.7127753,-74.0059728,-33.8982661,151.2040571,,,,,,
162,Luceobrien,MckKirk,-33.8982661,151.2040571,0,0,,,,,,
163,MckKirk,Luceobrien,0,0,-33.8982661,151.2040571,,,,,,
164,Luceobrien,redlianak,-33.8982661,151.2040571,43.653226,-79.3831843,,,,,,
165,sivavaid,Spacekatgal,37.4315734,-78.6568942,42.3600825,-71.0588801,,,,,,
166,Spacekatgal,sivavaid,42.3600825,-71.0588801,37.4315734,-78.6568942,,,,,,
167,sivavaid,kerrymflynn,37.4315734,-78.6568942,40.7127753,-74.0059728,,,,,,
168,kerrymflynn,sivavaid,40.7127753,-74.0059728,37.4315734,-78.6568942,,,,,,
169,RollingStone,sivavaid,40.7127753,-74.0059728,37.4315734,-78.6568942,,,,,,
170,ClaraJeffery,sivavaid,41.1398704,-112.0281318,37.4315734,-78.6568942,,,,,,
171,Spacekatgal,pablod,42.3600825,-71.0588801,40.6087346,-73.9153514,,,,,,
172,Spacekatgal,stranahan,42.3600825,-71.0588801,38.9071923,-77.0368707,,,,,,
173,Spacekatgal,ChrisCaesar,42.3600825,-71.0588801,NA,NA,,,,,,
174,ChrisCaesar,Spacekatgal,NA,NA,42.3600825,-71.0588801,,,,,,
175,Spacekatgal,nberlat,42.3600825,-71.0588801,41.8781136,-87.6297982,,,,,,
176,nberlat,Spacekatgal,41.8781136,-87.6297982,42.3600825,-71.0588801,,,,,,
177,Spacekatgal,smenor,42.3600825,-71.0588801,33.791638,-84.389488,,,,,,
178,crecenteb,Spacekatgal,40.7127753,-74.0059728,42.3600825,-71.0588801,,,,,,
179,Spacekatgal,kyliesparks,42.3600825,-71.0588801,0,0,,,,,,
180,kyliesparks,Spacekatgal,0,0,42.3600825,-71.0588801,,,,,,
181,Spacekatgal,KikkiPlanet,42.3600825,-71.0588801,0,0,,,,,,
182,Spacekatgal,rjcc,42.3600825,-71.0588801,44.3148443,-85.6023643,,,,,,
183,rjcc,Spacekatgal,44.3148443,-85.6023643,42.3600825,-71.0588801,,,,,,
184,Spacekatgal,sarahmei,42.3600825,-71.0588801,37.7749295,-122.4194155,,,,,,
185,Spacekatgal,melsil,42.3600825,-71.0588801,0,0,,,,,,
186,melsil,Spacekatgal,0,0,42.3600825,-71.0588801,,,,,,
187,Spacekatgal,ClaraJeffery,42.3600825,-71.0588801,41.1398704,-112.0281318,,,,,,
188,ClaraJeffery,Spacekatgal,41.1398704,-112.0281318,42.3600825,-71.0588801,,,,,,
189,Spacekatgal,pinkness,42.3600825,-71.0588801,38.898514,-77.010664,,,,,,
190,russpitts,mistertodd,33.791638,-84.389488,-43.526192,172.630302,,,,,,
191,russpitts,crecenteb,33.791638,-84.389488,40.7127753,-74.0059728,,,,,,
192,crecenteb,russpitts,40.7127753,-74.0059728,33.791638,-84.389488,,,,,,
193,russpitts,UnburntWitch,33.791638,-84.389488,38.898514,-77.010664,,,,,,
194,UnburntWitch,russpitts,38.898514,-77.010664,33.791638,-84.389488,,,,,,
195,russpitts,rjcc,33.791638,-84.389488,44.3148443,-85.6023643,,,,,,
196,rjcc,russpitts,44.3148443,-85.6023643,33.791638,-84.389488,,,,,,
197,russpitts,redlianak,33.791638,-84.389488,43.653226,-79.3831843,,,,,,
198,shanedingman,peternowak,43.653226,-79.3831843,43.653226,-79.3831843,,,,,,
199,peternowak,shanedingman,43.653226,-79.3831843,43.653226,-79.3831843,,,,,,
200,peternowak,redlianak,43.653226,-79.3831843,43.653226,-79.3831843,,,,,,
201,stranahan,cehoskinson,38.9071923,-77.0368707,38.9071923,-77.0368707,,,,,,
202,HashtagGriswold,cehoskinson,40.5922619,-82.1905578,38.9071923,-77.0368707,,,,,,
203,CathyYoung63,cehoskinson,40.0583238,-74.4056612,38.9071923,-77.0368707,,,,,,
204,Grummz,stranahan,33.791638,-84.389488,38.9071923,-77.0368707,,,,,,
205,stranahan,willsommer,38.9071923,-77.0368707,38.9071923,-77.0368707,,,,,,
206,willsommer,stranahan,38.9071923,-77.0368707,38.9071923,-77.0368707,,,,,,
207,stranahan,TheBrandonMorse,38.9071923,-77.0368707,32.7766642,-96.7969879,,,,,,
208,TheBrandonMorse,stranahan,32.7766642,-96.7969879,38.9071923,-77.0368707,,,,,,
209,RollingStone,stranahan,40.7127753,-74.0059728,38.9071923,-77.0368707,,,,,,
210,oliverbcampbell,stranahan,41.8780025,-93.097702,38.9071923,-77.0368707,,,,,,
211,rjcc,stranahan,44.3148443,-85.6023643,38.9071923,-77.0368707,,,,,,
