UNIQUE_IDS,Outdegrees,Indegrees
517004655,0,1
2343922427,0,1
4721661615,0,1
14591218,0,1
190357821,0,1
7.59E+17,0,4
2399017345,0,1
2896835628,0,1
8.06E+17,0,8
69373980,0,1
19643874,0,1
7.60E+17,0,30
29971417,0,2
18195553,0,1
359174241,0,1
8.04E+17,0,2
2845913776,0,1
126171202,0,1
43378629,0,1
2458721665,0,1
14260960,0,1
8.93E+17,0,1
27000730,0,1
3091766863,0,1
594175899,0,1
8.98E+17,0,1
9.27E+17,0,4
3071076953,0,1
613899472,0,1
945450367,0,1
238055499,0,1
424806929,0,10
21268897,0,1
604940737,0,9
3413756493,0,1
8.55E+17,0,1
38021361,0,1
5402612,0,1
14173315,0,24
25073877,0,2
5715752,0,1
8.73E+17,0,3
51590580,0,1
91470339,0,1
4240850893,0,1
128730616,0,1
1294741,0,1
1598830746,0,2
486039063,0,1
269199676,0,1
7.20E+17,0,1
14377605,0,1
2488096033,0,5
211855168,0,1
47475039,0,2
16076032,0,1
2891322910,0,1
3410350325,0,1
18643437,0,7
478687097,0,1
207778228,0,1
555661926,0,1
26029878,0,1
15009761,0,4
8.01E+17,0,1
2927250157,0,2
3254796819,0,1
7.53E+17,0,1
301445034,0,1
236981019,0,1
14237828,0,2
8.63E+17,0,1
114684274,0,1
148487300,0,1
7.93E+17,0,2
22040252,0,1
7.72E+17,0,1
15369857,0,1
1135011900,0,1
427619040,0,1
3723342375,0,1
118764942,0,1
3849184163,0,1
393885443,0,1
310590377,0,1
9.07E+17,0,6
