,user_id,in_reply_to_user_id
6371,2814040284,2814040284
6378,2550636080,2550636080
6381,390941970,390941970
6388,164349995,7.49E+17
6395,164349995,164349995
6398,3010312991,9.05E+17
6403,15538456,4565284153
6407,1468379197,8.33E+17
6412,7.49E+17,164349995
6416,402423366,1465481
6418,164349995,7.49E+17
6420,2368500437,88001676
6421,8.30E+17,8.87E+17
6433,164349995,7.49E+17
6435,9.16E+17,8.78E+17
6438,164349995,7.49E+17
6449,13419902,2955460223
6452,8.32E+17,4562262263
6458,3252863095,82435291
6467,164349995,374227012
6476,3010312991,27938182
6483,374227012,16106584
6488,439718090,9.18E+17
6494,374227012,2814040284
6507,222912657,1969254588
6514,285925478,8.19E+17
6544,1700487464,409212875
6563,9.18E+17,4726147296
6574,139547683,139547683
6586,487039635,8.20E+17
6592,2398721012,43380811
6595,35653,35653
6597,2398721012,43380811
6598,35653,150455885
6605,15281517,15281517
6621,7.17E+17,7.17E+17
6626,619415928,15281517
6627,14168196,2221019857
6630,20735369,20735369
6635,15281517,7.17E+17
6649,1611995112,1611995112
6652,8.59E+17,3284606599
6663,746578496,828086198
6677,269535116,7.23E+17
6688,8.04E+17,7.63E+17
6698,164349995,274109576
6699,24205315,25694156
6709,510782248,510782248
6711,233009777,604940737
6736,492172594,492172594
6739,9.25E+17,26585095
6757,3023487461,17398320
6788,9.09E+17,9.09E+17
6812,215508074,7.33E+17
6818,2663990558,2663990558
6853,16267395,2841652475
6866,8.18E+17,8.18E+17
6868,9.12E+17,496974569
6877,37913112,37913112
6890,195039843,9.17E+17
6898,2663990558,2663990558
6901,361999207,8.78E+17
6916,436046160,7.64E+17
6918,348477358,2986302887
6927,36066624,88001676
6930,262861537,19084896
6938,182692702,16719435
6950,7.59E+17,2877151045
6967,7.66E+17,2836421
6975,7.08E+17,14173315
6979,1163578796,258161837
6983,4264195704,596680323
7014,3382046777,27315988
7029,38306826,88001676
7032,2891807243,88001676
7034,374227012,2423425960
7040,9.19E+17,260572528
7046,2565791769,8.04E+17
7052,8.94E+17,8.42E+17
7056,163632348,951938959
7057,8.42E+17,2825031026
7059,8.80E+17,1733467884
7063,2825031026,7.19E+17
7072,2810611336,88001676
7088,3243623863,88001676
7092,262861537,262861537
7095,50074999,8.90E+17
7098,55098315,27553611
7101,8.22E+17,16106584
7104,262861537,262861537
7106,33540385,88001676
7110,23866855,2479085623
7115,8.44E+17,16106584
7116,83339474,83339474
7117,3010312991,3010312991
7122,2848826986,965069406
7133,33996870,1113067399
7140,2349149214,2349149214
7148,2810611336,14407767
7153,9.03E+17,539589780
7157,8.89E+17,7.19E+17
7172,3019039904,3019039904
7190,7.56E+17,39344374
7194,2905627583,2905627583
7208,992330448,47630337
7217,14563484,777010404
7231,7.47E+17,8.78E+17
7254,14407767,29210791
7256,16841066,8.79E+17
7267,248590801,3688700362
7283,596680323,8.78E+17
7294,259492037,277563120
7301,7.49E+17,8.22E+17
7317,8.98E+17,8.68E+17
7340,2272138994,1385975335
7365,7.39E+17,1236465925
7376,8.68E+17,41455567
7379,2889984516,9.00E+17
7399,7.09E+17,78724476
7405,2376855856,14173315
7416,8.43E+17,2951963678
7419,3288926470,2974750750
7434,7.89E+17,2598183050
7473,8.25E+17,9.13E+17
7487,7.97E+17,29971417
7495,9.18E+17,16106584
7506,2661453643,16106584
7512,9.20E+17,16106584
7518,477002167,16106584
7536,32677335,909460368
7538,9.20E+17,9.20E+17
7570,374227012,2423425960
7575,374227012,9.05E+17
7581,8.38E+17,2423373294
7586,2652297992,1077339504
7603,4429531393,4429531393
7604,4429531393,8.25E+17
7627,2738046367,2738046367
7630,2738046367,56768257
7635,2659960381,88001676
7639,2887629187,2887629187
7644,2241247909,4756240343
7668,9.20E+17,2951963678
7675,9.00E+17,8.57E+17
7677,2810611336,2810611336
7717,61512352,2955460223
7739,3227843065,8.28E+17
7744,14119853,281877818
7751,1881470028,1419936289
7754,8.77E+17,522289313
7758,27434852,57714888
7759,14119853,281877818
7763,27434852,57714888
7792,8.78E+17,56768257
7800,7.66E+17,501926162
7802,3048214336,3046414241
7810,732763,353569959
7819,478993024,478993024
7835,242595690,32652567
7844,20693,19107004
7845,114875939,114875939
7851,7.57E+17,1056832406
7859,631606072,631606072
7864,1900588969,20603009
7876,98617389,98617389
7881,631606072,631606072
7884,8.05E+17,8.85E+17
7885,274294204,274294204
7891,9.23E+17,7.39E+17
7892,142709459,2796417967
7896,1900588969,20603009
7897,8.27E+17,7.39E+17
7902,8.36E+17,49352957
7903,4638271638,17264476
7907,20833775,7.23E+17
7910,8.07E+17,9.17E+17
7920,631606072,16084074
7925,16084074,16084074
7938,3124506583,2554278218
7944,9.23E+17,197125766
7953,2796417967,2796417967
7986,112767933,1550951096
7994,2331199484,1534359055
7998,864090907,2831991570
8002,164349995,152832615
8005,3040368190,195303335
8015,8.47E+17,8.47E+17
8017,8.80E+17,514384144
8020,2187662275,2896827218
8045,8.80E+17,8.80E+17
8047,1534002102,490013684
8060,252643801,252643801
8066,9.01E+17,48822802
8068,8.22E+17,604940737
8078,7.05E+17,47155605
8080,773895002,3172702661
8085,834419623,8.20E+17
8088,8.67E+17,46331074
8093,8.42E+17,2951963678
8098,2593706066,1356030014
8100,9.13E+17,8.06E+17
8105,7.45E+17,39538010
8108,8.54E+17,8.85E+17
8113,7.05E+17,8.95E+17
8115,540160989,14155052
8118,19157383,565261168
8136,8.18E+17,2623690121
8137,3322773492,4039941853
8139,8.18E+17,7157132
8147,2943060805,200400703
8165,8.25E+17,4429531393
8176,3193731648,7.11E+17
8193,8.25E+17,3284709691
8212,14667729,1975777561
8214,388063820,8.07E+17
8233,122050135,122050135
8257,603813065,2911520575
8295,353463122,353463122
8299,942340093,534779816
8303,229841284,354176623
8309,229841284,8.43E+17
8327,7.56E+17,3221957964
8332,7.56E+17,3221957964
8340,7.56E+17,7.56E+17
8386,1869365360,1733467884
8398,9.02E+17,262107714
8421,8252602,4039941853
8465,92376180,7.60E+17
8491,114584062,161163433
8500,9.21E+17,78724476
8509,9.21E+17,4039941853
8517,2402890705,4429531393
8521,4429531393,2402890705
8525,2402890705,4429531393
8528,14941817,4039941853
8531,4429531393,4429531393
8533,4429531393,4429531393
8536,2497064084,8.32E+17
8558,2814040284,2814040284
8559,2814040284,2814040284
8563,2272138994,164070785
8571,1922243665,4124503756
8572,253597942,356210545
8586,8.18E+17,8.72E+17
8588,2592522606,2592522606
8592,1419966026,3914715432
8599,2592522606,161163433
8600,382474923,8.18E+17
8618,8.58E+17,15709150
8629,89239946,89239946
8645,3368349226,3153187677
8646,382474923,8.18E+17
8652,7.48E+17,2999158160
8663,9.21E+17,8.07E+17
8665,16106584,19537801
8716,8.73E+17,8.72E+17
8724,8.96E+17,2724363726
8744,1054306639,2436389418
8747,1000678674,7.99E+17
8770,519246509,78724476
8811,95506280,95506280
8872,8499732,77346069
8873,7.55E+17,8.44E+17
8887,2355244596,9.13E+17
8908,3010312991,490687640
8916,8.26E+17,8.73E+17
8917,8.65E+17,165944767
8925,292440657,544321302
8926,707841024,24810739
8927,544321302,1543686456
8934,32677335,909460368
8956,9.22E+17,262845998
8984,305433319,2586377694
